Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,Buy_Signal
Ticker,,,,,,,,,0
Date,,,,,,,,,0
2025-02-04,1285.199951171875,1288.800048828125,1246.5999755859375,1248.050048828125,16691069.0,,,,0
2025-02-05,1278.199951171875,1290.5,1276.699951171875,1282.6500244140625,10112028.0,,,,0
2025-02-06,1281.550048828125,1288.0,1270.3499755859375,1273.699951171875,9956001.0,,,,0
2025-02-07,1266.699951171875,1283.699951171875,1262.0,1276.1500244140625,8764283.0,,,,0
2025-02-10,1253.6500244140625,1266.5,1245.550048828125,1264.5,6970972.0,,,,0
2025-02-11,1234.8499755859375,1264.550048828125,1230.0999755859375,1264.550048828125,8859714.0,,,,0
2025-02-12,1216.550048828125,1226.9000244140625,1193.3499755859375,1219.449951171875,21131654.0,,,,0
2025-02-13,1216.0999755859375,1228.0,1212.0,1217.050048828125,8511216.0,,,,0
2025-02-14,1217.25,1224.0,1205.449951171875,1219.0,10298145.0,,,,0
2025-02-17,1224.9000244140625,1227.5,1204.5,1211.0999755859375,8166683.0,,,,0
2025-02-18,1225.4000244140625,1229.9000244140625,1216.0999755859375,1224.8499755859375,6673250.0,,,,0
2025-02-19,1227.449951171875,1232.75,1217.550048828125,1219.5,6217338.0,20.952188567437375,,,0
2025-02-20,1233.0,1239.3499755859375,1222.0,1223.949951171875,7795582.0,28.565234908556874,,,0
2025-02-21,1228.1500244140625,1240.0,1222.1500244140625,1228.699951171875,6904025.0,26.19137866961094,,,0
2025-02-24,1214.550048828125,1223.25,1210.5,1216.550048828125,7172498.0,20.937068093934826,,,0
2025-02-25,1204.0,1221.0,1201.5,1211.0,11552182.0,17.931805509919897,,,0
2025-02-27,1207.0999755859375,1215.0,1200.6500244140625,1212.800048828125,11509215.0,21.497456049383146,,,0
2025-02-28,1200.0999755859375,1217.3499755859375,1193.300048828125,1202.0,23007298.0,19.443193511789204,,,0
2025-03-03,1171.25,1206.449951171875,1156.0,1204.0,17944938.0,13.652663133018862,,,0
2025-03-04,1161.9000244140625,1174.0,1159.550048828125,1162.199951171875,11377373.0,12.367167249784174,1227.3924987792968,,0
2025-03-05,1175.5999755859375,1183.0,1157.0,1161.0,8664095.0,23.703013034354456,1221.9125,,0
2025-03-06,1209.5999755859375,1213.949951171875,1185.1500244140625,1197.0,14468014.0,43.30420590671748,1218.4825012207032,,0
2025-03-07,1249.800048828125,1254.800048828125,1212.0,1216.0,16474965.0,57.27909013586823,1216.895001220703,,0
